umap_x,umap_y,filepath,class,plane,source
1.4760866,-0.5567817,brisc2025_preprocessed\glioma_ax\brisc2025_train_00031_gl_ax_t1.png,glioma,ax,real
0.66646576,-0.4519547,brisc2025_preprocessed\glioma_ax\brisc2025_train_00032_gl_ax_t1.png,glioma,ax,real
0.10029389,0.97300625,brisc2025_preprocessed\glioma_ax\brisc2025_train_00033_gl_ax_t1.png,glioma,ax,real
0.2772877,-0.6853703,brisc2025_preprocessed\glioma_ax\brisc2025_train_00034_gl_ax_t1.png,glioma,ax,real
0.4002993,-0.18547522,brisc2025_preprocessed\glioma_ax\brisc2025_train_00035_gl_ax_t1.png,glioma,ax,real
1.5281618,-0.5775349,brisc2025_preprocessed\glioma_ax\brisc2025_train_00036_gl_ax_t1.png,glioma,ax,real
0.42737672,-0.25600466,brisc2025_preprocessed\glioma_ax\brisc2025_train_00037_gl_ax_t1.png,glioma,ax,real
0.21361819,-0.62463844,brisc2025_preprocessed\glioma_ax\brisc2025_train_00038_gl_ax_t1.png,glioma,ax,real
0.42725605,-0.6969855,brisc2025_preprocessed\glioma_ax\brisc2025_train_00039_gl_ax_t1.png,glioma,ax,real
0.24015248,-0.11334512,brisc2025_preprocessed\glioma_ax\brisc2025_train_00040_gl_ax_t1.png,glioma,ax,real
0.6604586,-0.49367863,brisc2025_preprocessed\glioma_ax\brisc2025_train_00041_gl_ax_t1.png,glioma,ax,real
1.2782471,-0.2167022,brisc2025_preprocessed\glioma_ax\brisc2025_train_00042_gl_ax_t1.png,glioma,ax,real
0.04735973,-0.09443855,brisc2025_preprocessed\glioma_ax\brisc2025_train_00043_gl_ax_t1.png,glioma,ax,real
-2.012796,1.583529,brisc2025_preprocessed\glioma_ax\brisc2025_train_00044_gl_ax_t1.png,glioma,ax,real
-1.6479496,1.2996892,brisc2025_preprocessed\glioma_ax\brisc2025_train_00045_gl_ax_t1.png,glioma,ax,real
0.015177024,-0.020237617,brisc2025_preprocessed\glioma_ax\brisc2025_train_00046_gl_ax_t1.png,glioma,ax,real
0.0891858,0.030833373,brisc2025_preprocessed\glioma_ax\brisc2025_train_00047_gl_ax_t1.png,glioma,ax,real
0.8068159,0.21835534,brisc2025_preprocessed\glioma_ax\brisc2025_train_00048_gl_ax_t1.png,glioma,ax,real
0.8116561,0.2383835,brisc2025_preprocessed\glioma_ax\brisc2025_train_00049_gl_ax_t1.png,glioma,ax,real
0.84953976,-0.1593603,brisc2025_preprocessed\glioma_ax\brisc2025_train_00050_gl_ax_t1.png,glioma,ax,real
-0.7885896,0.69057,brisc2025_preprocessed\glioma_ax\brisc2025_train_00051_gl_ax_t1.png,glioma,ax,real
-0.3420272,0.3093558,brisc2025_preprocessed\glioma_ax\brisc2025_train_00052_gl_ax_t1.png,glioma,ax,real
-0.3023875,0.20273903,brisc2025_preprocessed\glioma_ax\brisc2025_train_00053_gl_ax_t1.png,glioma,ax,real
0.09996639,-0.03610046,brisc2025_preprocessed\glioma_ax\brisc2025_train_00054_gl_ax_t1.png,glioma,ax,real
0.4257079,-0.10364441,brisc2025_preprocessed\glioma_ax\brisc2025_train_00055_gl_ax_t1.png,glioma,ax,real
0.58670866,-0.23485336,brisc2025_preprocessed\glioma_ax\brisc2025_train_00056_gl_ax_t1.png,glioma,ax,real
0.79905546,-0.30373073,brisc2025_preprocessed\glioma_ax\brisc2025_train_00057_gl_ax_t1.png,glioma,ax,real
0.845271,-0.4282052,brisc2025_preprocessed\glioma_ax\brisc2025_train_00058_gl_ax_t1.png,glioma,ax,real
1.069647,-0.3767248,brisc2025_preprocessed\glioma_ax\brisc2025_train_00059_gl_ax_t1.png,glioma,ax,real
1.1912231,-0.41518393,brisc2025_preprocessed\glioma_ax\brisc2025_train_00060_gl_ax_t1.png,glioma,ax,real
0.895908,-0.38571,brisc2025_preprocessed\glioma_ax\brisc2025_train_00061_gl_ax_t1.png,glioma,ax,real
1.5161897,-0.63801825,brisc2025_preprocessed\glioma_ax\brisc2025_train_00062_gl_ax_t1.png,glioma,ax,real
1.5578145,-0.65747756,brisc2025_preprocessed\glioma_ax\brisc2025_train_00063_gl_ax_t1.png,glioma,ax,real
1.5283606,-0.6765683,brisc2025_preprocessed\glioma_ax\brisc2025_train_00064_gl_ax_t1.png,glioma,ax,real
0.46762758,-0.21834296,brisc2025_preprocessed\glioma_ax\brisc2025_train_00065_gl_ax_t1.png,glioma,ax,real
0.33393574,-0.17497149,brisc2025_preprocessed\glioma_ax\brisc2025_train_00066_gl_ax_t1.png,glioma,ax,real
0.8158135,-0.4564944,brisc2025_preprocessed\glioma_ax\brisc2025_train_00067_gl_ax_t1.png,glioma,ax,real
0.6902369,-0.2778861,brisc2025_preprocessed\glioma_ax\brisc2025_train_00068_gl_ax_t1.png,glioma,ax,real
0.9362019,-0.42506617,brisc2025_preprocessed\glioma_ax\brisc2025_train_00069_gl_ax_t1.png,glioma,ax,real
1.1416761,-0.36414018,brisc2025_preprocessed\glioma_ax\brisc2025_train_00070_gl_ax_t1.png,glioma,ax,real
1.5342339,-0.4226716,brisc2025_preprocessed\glioma_ax\brisc2025_train_00071_gl_ax_t1.png,glioma,ax,real
1.573262,-0.47829756,brisc2025_preprocessed\glioma_ax\brisc2025_train_00072_gl_ax_t1.png,glioma,ax,real
1.8904635,-0.33039713,brisc2025_preprocessed\glioma_ax\brisc2025_train_00073_gl_ax_t1.png,glioma,ax,real
1.9060031,-0.3213228,brisc2025_preprocessed\glioma_ax\brisc2025_train_00074_gl_ax_t1.png,glioma,ax,real
0.26728922,-0.22731587,brisc2025_preprocessed\glioma_ax\brisc2025_train_00075_gl_ax_t1.png,glioma,ax,real
0.36784786,-0.21328692,brisc2025_preprocessed\glioma_ax\brisc2025_train_00076_gl_ax_t1.png,glioma,ax,real
0.60593176,-0.46500158,brisc2025_preprocessed\glioma_ax\brisc2025_train_00077_gl_ax_t1.png,glioma,ax,real
-1.707905,1.3435471,brisc2025_preprocessed\glioma_ax\brisc2025_train_00078_gl_ax_t1.png,glioma,ax,real
-0.59197164,0.21444899,brisc2025_preprocessed\glioma_ax\brisc2025_train_00079_gl_ax_t1.png,glioma,ax,real
1.5513233,-0.55948263,brisc2025_preprocessed\glioma_ax\brisc2025_train_00080_gl_ax_t1.png,glioma,ax,real
1.9766572,-0.29814786,brisc2025_preprocessed\glioma_ax\brisc2025_train_00081_gl_ax_t1.png,glioma,ax,real
2.046649,-0.24418317,brisc2025_preprocessed\glioma_ax\brisc2025_train_00082_gl_ax_t1.png,glioma,ax,real
-0.11161485,-0.0023299176,brisc2025_preprocessed\glioma_ax\brisc2025_train_00083_gl_ax_t1.png,glioma,ax,real
0.091333486,-0.060433395,brisc2025_preprocessed\glioma_ax\brisc2025_train_00084_gl_ax_t1.png,glioma,ax,real
0.4071825,-0.27255222,brisc2025_preprocessed\glioma_ax\brisc2025_train_00085_gl_ax_t1.png,glioma,ax,real
0.42839456,-0.2578005,brisc2025_preprocessed\glioma_ax\brisc2025_train_00086_gl_ax_t1.png,glioma,ax,real
0.7860307,-0.50102735,brisc2025_preprocessed\glioma_ax\brisc2025_train_00087_gl_ax_t1.png,glioma,ax,real
0.8929011,-0.5411503,brisc2025_preprocessed\glioma_ax\brisc2025_train_00088_gl_ax_t1.png,glioma,ax,real
1.4102739,-0.6454262,brisc2025_preprocessed\glioma_ax\brisc2025_train_00089_gl_ax_t1.png,glioma,ax,real
-1.9036964,1.5418508,brisc2025_preprocessed\glioma_ax\brisc2025_train_00090_gl_ax_t1.png,glioma,ax,real
-0.9358916,0.95146424,brisc2025_preprocessed\glioma_ax\brisc2025_train_00091_gl_ax_t1.png,glioma,ax,real
0.099813685,1.020949,brisc2025_preprocessed\glioma_ax\brisc2025_train_00092_gl_ax_t1.png,glioma,ax,real
0.1755878,1.1511142,brisc2025_preprocessed\glioma_ax\brisc2025_train_00093_gl_ax_t1.png,glioma,ax,real
0.6887997,1.7016848,brisc2025_preprocessed\glioma_ax\brisc2025_train_00094_gl_ax_t1.png,glioma,ax,real
0.7137434,2.136279,brisc2025_preprocessed\glioma_ax\brisc2025_train_00095_gl_ax_t1.png,glioma,ax,real
-0.8110913,1.0589591,brisc2025_preprocessed\glioma_ax\brisc2025_train_00096_gl_ax_t1.png,glioma,ax,real
-0.7821921,1.1223089,brisc2025_preprocessed\glioma_ax\brisc2025_train_00097_gl_ax_t1.png,glioma,ax,real
-0.72090936,1.2469118,brisc2025_preprocessed\glioma_ax\brisc2025_train_00098_gl_ax_t1.png,glioma,ax,real
1.8206584,-0.39523077,brisc2025_preprocessed\glioma_ax\brisc2025_train_00099_gl_ax_t1.png,glioma,ax,real
1.8549565,-0.38833898,brisc2025_preprocessed\glioma_ax\brisc2025_train_00100_gl_ax_t1.png,glioma,ax,real
2.275509,0.10957635,brisc2025_preprocessed\glioma_ax\brisc2025_train_00101_gl_ax_t1.png,glioma,ax,real
1.497231,-0.639903,brisc2025_preprocessed\glioma_ax\brisc2025_train_00102_gl_ax_t1.png,glioma,ax,real
-0.1995628,0.15130189,brisc2025_preprocessed\glioma_ax\brisc2025_train_00103_gl_ax_t1.png,glioma,ax,real
0.2754985,-0.22057097,brisc2025_preprocessed\glioma_ax\brisc2025_train_00104_gl_ax_t1.png,glioma,ax,real
0.39436162,-0.2324023,brisc2025_preprocessed\glioma_ax\brisc2025_train_00105_gl_ax_t1.png,glioma,ax,real
0.5077348,-0.1872403,brisc2025_preprocessed\glioma_ax\brisc2025_train_00106_gl_ax_t1.png,glioma,ax,real
1.2461115,-0.61312306,brisc2025_preprocessed\glioma_ax\brisc2025_train_00107_gl_ax_t1.png,glioma,ax,real
1.4343009,-0.66804457,brisc2025_preprocessed\glioma_ax\brisc2025_train_00108_gl_ax_t1.png,glioma,ax,real
0.4930676,-0.42895946,brisc2025_preprocessed\glioma_ax\brisc2025_train_00109_gl_ax_t1.png,glioma,ax,real
0.7658669,-0.4805264,brisc2025_preprocessed\glioma_ax\brisc2025_train_00110_gl_ax_t1.png,glioma,ax,real
0.7666836,-0.49834916,brisc2025_preprocessed\glioma_ax\brisc2025_train_00111_gl_ax_t1.png,glioma,ax,real
1.5736511,-0.5913494,brisc2025_preprocessed\glioma_ax\brisc2025_train_00112_gl_ax_t1.png,glioma,ax,real
1.5553026,-0.6060193,brisc2025_preprocessed\glioma_ax\brisc2025_train_00113_gl_ax_t1.png,glioma,ax,real
1.5556701,-0.628021,brisc2025_preprocessed\glioma_ax\brisc2025_train_00114_gl_ax_t1.png,glioma,ax,real
1.9575984,-0.37945446,brisc2025_preprocessed\glioma_ax\brisc2025_train_00115_gl_ax_t1.png,glioma,ax,real
0.27186477,0.09744598,brisc2025_preprocessed\glioma_ax\brisc2025_train_00116_gl_ax_t1.png,glioma,ax,real
0.540371,-0.36362588,brisc2025_preprocessed\glioma_ax\brisc2025_train_00117_gl_ax_t1.png,glioma,ax,real
0.6599557,-0.26875672,brisc2025_preprocessed\glioma_ax\brisc2025_train_00118_gl_ax_t1.png,glioma,ax,real
0.7254975,-0.32931468,brisc2025_preprocessed\glioma_ax\brisc2025_train_00119_gl_ax_t1.png,glioma,ax,real
0.7171596,-0.336326,brisc2025_preprocessed\glioma_ax\brisc2025_train_00120_gl_ax_t1.png,glioma,ax,real
1.1031828,-0.53683484,brisc2025_preprocessed\glioma_ax\brisc2025_train_00121_gl_ax_t1.png,glioma,ax,real
1.3996416,-0.54564935,brisc2025_preprocessed\glioma_ax\brisc2025_train_00122_gl_ax_t1.png,glioma,ax,real
2.2120872,1.8769934,brisc2025_preprocessed\glioma_ax\brisc2025_train_00123_gl_ax_t1.png,glioma,ax,real
2.3452406,0.39426294,brisc2025_preprocessed\glioma_ax\brisc2025_train_00124_gl_ax_t1.png,glioma,ax,real
2.5004256,0.48654333,brisc2025_preprocessed\glioma_ax\brisc2025_train_00125_gl_ax_t1.png,glioma,ax,real
0.6096962,1.1137341,brisc2025_preprocessed\glioma_ax\brisc2025_train_00126_gl_ax_t1.png,glioma,ax,real
0.67867494,1.6398566,brisc2025_preprocessed\glioma_ax\brisc2025_train_00127_gl_ax_t1.png,glioma,ax,real
1.1524596,1.7609203,brisc2025_preprocessed\glioma_ax\brisc2025_train_00128_gl_ax_t1.png,glioma,ax,real
0.39262822,1.6345869,brisc2025_preprocessed\glioma_ax\brisc2025_train_00129_gl_ax_t1.png,glioma,ax,real
0.5911232,1.3202411,brisc2025_preprocessed\glioma_ax\brisc2025_train_00130_gl_ax_t1.png,glioma,ax,real
0.60209274,1.2424812,brisc2025_preprocessed\glioma_ax\brisc2025_train_00131_gl_ax_t1.png,glioma,ax,real
0.8271095,1.9429642,brisc2025_preprocessed\glioma_ax\brisc2025_train_00132_gl_ax_t1.png,glioma,ax,real
1.0789427,1.9015204,brisc2025_preprocessed\glioma_ax\brisc2025_train_00133_gl_ax_t1.png,glioma,ax,real
1.4166213,1.8670678,brisc2025_preprocessed\glioma_ax\brisc2025_train_00134_gl_ax_t1.png,glioma,ax,real
2.15126,1.844564,brisc2025_preprocessed\glioma_ax\brisc2025_train_00135_gl_ax_t1.png,glioma,ax,real
2.2152872,1.7923889,brisc2025_preprocessed\glioma_ax\brisc2025_train_00136_gl_ax_t1.png,glioma,ax,real
2.27945,1.7166785,brisc2025_preprocessed\glioma_ax\brisc2025_train_00137_gl_ax_t1.png,glioma,ax,real
1.363041,-0.64189917,brisc2025_preprocessed\glioma_ax\brisc2025_train_00138_gl_ax_t1.png,glioma,ax,real
1.4955398,-0.5857616,brisc2025_preprocessed\glioma_ax\brisc2025_train_00139_gl_ax_t1.png,glioma,ax,real
1.5439073,-0.5742502,brisc2025_preprocessed\glioma_ax\brisc2025_train_00140_gl_ax_t1.png,glioma,ax,real
1.5954367,-0.5390195,brisc2025_preprocessed\glioma_ax\brisc2025_train_00141_gl_ax_t1.png,glioma,ax,real
2.3703134,0.113299586,brisc2025_preprocessed\glioma_ax\brisc2025_train_00142_gl_ax_t1.png,glioma,ax,real
2.4694502,0.25901628,brisc2025_preprocessed\glioma_ax\brisc2025_train_00143_gl_ax_t1.png,glioma,ax,real
2.646175,0.29848567,brisc2025_preprocessed\glioma_ax\brisc2025_train_00144_gl_ax_t1.png,glioma,ax,real
0.76235205,1.9126221,brisc2025_preprocessed\glioma_ax\brisc2025_train_00145_gl_ax_t1.png,glioma,ax,real
0.9207779,1.8165749,brisc2025_preprocessed\glioma_ax\brisc2025_train_00146_gl_ax_t1.png,glioma,ax,real
1.1000177,1.8416537,brisc2025_preprocessed\glioma_ax\brisc2025_train_00147_gl_ax_t1.png,glioma,ax,real
2.1658423,1.8607383,brisc2025_preprocessed\glioma_ax\brisc2025_train_00148_gl_ax_t1.png,glioma,ax,real
2.2029665,1.7833785,brisc2025_preprocessed\glioma_ax\brisc2025_train_00149_gl_ax_t1.png,glioma,ax,real
2.2258298,1.6916659,brisc2025_preprocessed\glioma_ax\brisc2025_train_00150_gl_ax_t1.png,glioma,ax,real
0.6895721,-0.3174925,brisc2025_preprocessed\glioma_ax\brisc2025_train_00151_gl_ax_t1.png,glioma,ax,real
0.7746465,-0.35319227,brisc2025_preprocessed\glioma_ax\brisc2025_train_00152_gl_ax_t1.png,glioma,ax,real
1.117272,-0.4016289,brisc2025_preprocessed\glioma_ax\brisc2025_train_00153_gl_ax_t1.png,glioma,ax,real
1.4006796,-0.45613697,brisc2025_preprocessed\glioma_ax\brisc2025_train_00154_gl_ax_t1.png,glioma,ax,real
1.4437021,-0.47965738,brisc2025_preprocessed\glioma_ax\brisc2025_train_00155_gl_ax_t1.png,glioma,ax,real
1.8466449,-0.4121317,brisc2025_preprocessed\glioma_ax\brisc2025_train_00156_gl_ax_t1.png,glioma,ax,real
2.0310073,-0.27104405,brisc2025_preprocessed\glioma_ax\brisc2025_train_00157_gl_ax_t1.png,glioma,ax,real
-0.02515575,0.12391307,brisc2025_preprocessed\glioma_ax\brisc2025_train_00158_gl_ax_t1.png,glioma,ax,real
-1.9346427,1.5866677,brisc2025_preprocessed\glioma_ax\brisc2025_train_00159_gl_ax_t1.png,glioma,ax,real
-0.1967031,0.15335064,brisc2025_preprocessed\glioma_ax\brisc2025_train_00160_gl_ax_t1.png,glioma,ax,real
0.38730204,-0.33207744,brisc2025_preprocessed\glioma_ax\brisc2025_train_00161_gl_ax_t1.png,glioma,ax,real
0.8326082,-0.23394226,brisc2025_preprocessed\glioma_ax\brisc2025_train_00162_gl_ax_t1.png,glioma,ax,real
1.01599,-0.3044308,brisc2025_preprocessed\glioma_ax\brisc2025_train_00163_gl_ax_t1.png,glioma,ax,real
0.46767625,-0.031298913,brisc2025_preprocessed\glioma_ax\brisc2025_train_00164_gl_ax_t1.png,glioma,ax,real
0.5672226,-0.12796669,brisc2025_preprocessed\glioma_ax\brisc2025_train_00165_gl_ax_t1.png,glioma,ax,real
0.5985865,-0.13406369,brisc2025_preprocessed\glioma_ax\brisc2025_train_00166_gl_ax_t1.png,glioma,ax,real
0.52696556,-0.107785694,brisc2025_preprocessed\glioma_ax\brisc2025_train_00167_gl_ax_t1.png,glioma,ax,real
0.53897876,-0.06590975,brisc2025_preprocessed\glioma_ax\brisc2025_train_00168_gl_ax_t1.png,glioma,ax,real
0.93306947,-0.3250041,brisc2025_preprocessed\glioma_ax\brisc2025_train_00169_gl_ax_t1.png,glioma,ax,real
1.1730441,-0.33342692,brisc2025_preprocessed\glioma_ax\brisc2025_train_00170_gl_ax_t1.png,glioma,ax,real
1.147425,1.9192009,brisc2025_preprocessed\glioma_ax\brisc2025_train_00171_gl_ax_t1.png,glioma,ax,real
-0.7087444,0.37552756,brisc2025_preprocessed\glioma_ax\brisc2025_train_00172_gl_ax_t1.png,glioma,ax,real
-0.57736474,0.36467203,brisc2025_preprocessed\glioma_ax\brisc2025_train_00173_gl_ax_t1.png,glioma,ax,real
0.059261225,0.111283444,brisc2025_preprocessed\glioma_ax\brisc2025_train_00174_gl_ax_t1.png,glioma,ax,real
0.24960022,-0.108620726,brisc2025_preprocessed\glioma_ax\brisc2025_train_00175_gl_ax_t1.png,glioma,ax,real
-3.2930207,2.6324105,brisc2025_preprocessed\glioma_ax\brisc2025_train_00176_gl_ax_t1.png,glioma,ax,real
-0.80676526,0.29367796,brisc2025_preprocessed\glioma_ax\brisc2025_train_00177_gl_ax_t1.png,glioma,ax,real
-0.80635357,0.24163757,brisc2025_preprocessed\glioma_ax\brisc2025_train_00178_gl_ax_t1.png,glioma,ax,real
-0.5413308,0.12238809,brisc2025_preprocessed\glioma_ax\brisc2025_train_00179_gl_ax_t1.png,glioma,ax,real
1.3862838,-0.526475,brisc2025_preprocessed\glioma_ax\brisc2025_train_00180_gl_ax_t1.png,glioma,ax,real
1.670066,-0.570971,brisc2025_preprocessed\glioma_ax\brisc2025_train_00181_gl_ax_t1.png,glioma,ax,real
1.8041934,-0.5159749,brisc2025_preprocessed\glioma_ax\brisc2025_train_00182_gl_ax_t1.png,glioma,ax,real
-0.2501105,0.039854866,brisc2025_preprocessed\glioma_ax\brisc2025_train_00183_gl_ax_t1.png,glioma,ax,real
-0.07136269,0.118425176,brisc2025_preprocessed\glioma_ax\brisc2025_train_00184_gl_ax_t1.png,glioma,ax,real
0.19820172,0.015691085,brisc2025_preprocessed\glioma_ax\brisc2025_train_00185_gl_ax_t1.png,glioma,ax,real
0.3435018,-0.062133096,brisc2025_preprocessed\glioma_ax\brisc2025_train_00186_gl_ax_t1.png,glioma,ax,real
0.5517662,-0.25373298,brisc2025_preprocessed\glioma_ax\brisc2025_train_00187_gl_ax_t1.png,glioma,ax,real
0.6185665,-0.5690585,brisc2025_preprocessed\glioma_ax\brisc2025_train_00188_gl_ax_t1.png,glioma,ax,real
1.3146926,-0.39764306,brisc2025_preprocessed\glioma_ax\brisc2025_train_00189_gl_ax_t1.png,glioma,ax,real
1.5336514,-0.39811397,brisc2025_preprocessed\glioma_ax\brisc2025_train_00190_gl_ax_t1.png,glioma,ax,real
1.9433876,-0.26847553,brisc2025_preprocessed\glioma_ax\brisc2025_train_00191_gl_ax_t1.png,glioma,ax,real
2.0808096,-0.155929,brisc2025_preprocessed\glioma_ax\brisc2025_train_00192_gl_ax_t1.png,glioma,ax,real
-2.2295837,1.847496,brisc2025_preprocessed\glioma_ax\brisc2025_train_00193_gl_ax_t1.png,glioma,ax,real
-0.8146558,0.5094915,brisc2025_preprocessed\glioma_ax\brisc2025_train_00194_gl_ax_t1.png,glioma,ax,real
-0.7141162,0.40485603,brisc2025_preprocessed\glioma_ax\brisc2025_train_00195_gl_ax_t1.png,glioma,ax,real
0.25621352,0.026858496,brisc2025_preprocessed\glioma_ax\brisc2025_train_00196_gl_ax_t1.png,glioma,ax,real
0.49570125,0.0027105054,brisc2025_preprocessed\glioma_ax\brisc2025_train_00197_gl_ax_t1.png,glioma,ax,real
0.72877836,-0.39968723,brisc2025_preprocessed\glioma_ax\brisc2025_train_00198_gl_ax_t1.png,glioma,ax,real
0.84833497,-0.41545027,brisc2025_preprocessed\glioma_ax\brisc2025_train_00199_gl_ax_t1.png,glioma,ax,real
1.3167689,-0.45865333,brisc2025_preprocessed\glioma_ax\brisc2025_train_00200_gl_ax_t1.png,glioma,ax,real
1.605171,-0.5898296,brisc2025_preprocessed\glioma_ax\brisc2025_train_00201_gl_ax_t1.png,glioma,ax,real
1.7625748,-0.44905025,brisc2025_preprocessed\glioma_ax\brisc2025_train_00202_gl_ax_t1.png,glioma,ax,real
2.0622675,-0.16707525,brisc2025_preprocessed\glioma_ax\brisc2025_train_00203_gl_ax_t1.png,glioma,ax,real
2.3106575,0.09739055,brisc2025_preprocessed\glioma_ax\brisc2025_train_00204_gl_ax_t1.png,glioma,ax,real
1.5077386,-0.58525574,brisc2025_preprocessed\glioma_ax\brisc2025_train_00205_gl_ax_t1.png,glioma,ax,real
-2.1730304,1.8207192,brisc2025_preprocessed\glioma_ax\brisc2025_train_00206_gl_ax_t1.png,glioma,ax,real
-1.8944188,1.5374938,brisc2025_preprocessed\glioma_ax\brisc2025_train_00207_gl_ax_t1.png,glioma,ax,real
-1.5381492,1.038279,brisc2025_preprocessed\glioma_ax\brisc2025_train_00208_gl_ax_t1.png,glioma,ax,real
-0.376287,0.10275235,brisc2025_preprocessed\glioma_ax\brisc2025_train_00209_gl_ax_t1.png,glioma,ax,real
-0.18368892,-0.04127217,brisc2025_preprocessed\glioma_ax\brisc2025_train_00210_gl_ax_t1.png,glioma,ax,real
-0.07476151,-0.054780472,brisc2025_preprocessed\glioma_ax\brisc2025_train_00211_gl_ax_t1.png,glioma,ax,real
1.0448927,-0.34957108,brisc2025_preprocessed\glioma_ax\brisc2025_train_00212_gl_ax_t1.png,glioma,ax,real
1.1959375,-0.52291226,brisc2025_preprocessed\glioma_ax\brisc2025_train_00213_gl_ax_t1.png,glioma,ax,real
0.4481732,-0.19659042,brisc2025_preprocessed\glioma_ax\brisc2025_train_00214_gl_ax_t1.png,glioma,ax,real
0.86643416,-0.33018053,brisc2025_preprocessed\glioma_ax\brisc2025_train_00215_gl_ax_t1.png,glioma,ax,real
-0.28743133,1.3668774,brisc2025_preprocessed\glioma_ax\brisc2025_train_00216_gl_ax_t1.png,glioma,ax,real
0.71232027,2.0537298,brisc2025_preprocessed\glioma_ax\brisc2025_train_00217_gl_ax_t1.png,glioma,ax,real
0.8053769,2.2130501,brisc2025_preprocessed\glioma_ax\brisc2025_train_00218_gl_ax_t1.png,glioma,ax,real
0.8696099,2.22434,brisc2025_preprocessed\glioma_ax\brisc2025_train_00219_gl_ax_t1.png,glioma,ax,real
2.1428597,1.8502613,brisc2025_preprocessed\glioma_ax\brisc2025_train_00220_gl_ax_t1.png,glioma,ax,real
2.2343678,1.7669207,brisc2025_preprocessed\glioma_ax\brisc2025_train_00221_gl_ax_t1.png,glioma,ax,real
-0.73685545,0.16802217,brisc2025_preprocessed\glioma_ax\brisc2025_train_00222_gl_ax_t1.png,glioma,ax,real
